ENTIDAD,ESCUELA,SUSTENTANTES,SELECCIONADOS,PROMEDIO CALIFICACION
AGUASCALIENTES,UNIV. AUT. DE AGUASCALIENTES,277,122,66.781
AGUASCALIENTES,UNIV. CUAUHTEMOC - CAMPUS AGUASCALIENTES,63,21,62.571
BAJA CALIFORNIA,"CENTRO EST. UNIV. XOCHICALCO, U. ENSENADA",237,38,58.18
BAJA CALIFORNIA,"CENTRO EST. UNIV. XOCHICALCO, U. TIJUANA",175,29,61.482
BAJA CALIFORNIA,UNIV. AUT. DE B.C. - CAMPUS VALLE DE LAS PALMAS,182,37,61.43
BAJA CALIFORNIA,"UNIV. AUT. DE B.C., U. ENSENADA",219,52,61.996
BAJA CALIFORNIA,"UNIV. AUT. DE B.C., U. MEXICALI",288,120,65.865
BAJA CALIFORNIA,"UNIV. AUT. DE B.C., U. TIJUANA",237,79,64.717
BAJA CALIFORNIA SUR,CENTRO EST. UNIV. XOCHICALCO CAMPUS MEXICALI,96,26,62.873
CAMPECHE,UNIV. AUT. DE CAMPECHE,216,35,58.957
CHIAPAS,INST. EST. SUPERIORES DE CHIAPAS - CAMPUS TAPACHULA,76,5,51.564
CHIAPAS,INST. EST. SUPERIORES DE CHIAPAS -CAMPUS TUXTLA GUTIERREZ,372,41,55.011
CHIAPAS,UNIV. AUT. DE CHIAPAS,968,172,60.054
CHIAPAS,UNIV. DEL SUR CHIAPAS,2,0,54.111
CHIAPAS,UNIV. DEL SURESTE CHIAPAS,4,0,47.167
CHIAPAS,UNIV. PABLO GUARDADO CHÁVEZ,54,1,56.173
CHIHUAHUA,UNIV. AUT. DE CD. JUÁREZ,410,82,60.994
CHIHUAHUA,UNIV. AUT. DE CHIHUAHUA,416,120,64.711
CHIHUAHUA,UNIV. AUT. DE CHIHUAHUA - CAMPUS HIDALGO DEL PARRAL ,63,7,60.307
CHIHUAHUA,UNIV. DURANGO - CAMPUS CHIHUAHUA,93,12,58.1
CIUDAD DE MÉXICO,ESC. LIBRE DE HOMEOPATÍA DE MÉXICO,16,1,51.569
CIUDAD DE MÉXICO,ESC. MÉDICO - MILITAR SEDENA,3,1,64
CIUDAD DE MÉXICO,INST. TECNOLÓGICO EST. SUP. MTY. - CAMPUS CDMX,45,19,68.622
CIUDAD DE MÉXICO,IPN CENTRO INTERDISCIPLINARIO DE C. SALUD,390,55,57.173
CIUDAD DE MÉXICO,IPN ESC .SUP. MEDICINA,1636,361,61.117
CIUDAD DE MÉXICO,IPN ESC. NAL. MED. Y HOMEOPATÍA,843,142,57.786
CIUDAD DE MÉXICO,UNAM FES ZARAGOZA,579,114,59.818
CIUDAD DE MÉXICO,UNAM FM CU,2383,707,63.935
