ENTIDAD FEDERATIVA,FACULTAD O ESCUELA DE MEDICINA,SUSTENTANTES,SELECCIONADOS,PROMEDIO GENERAL,AGNO
AGUASCALIENTES,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,239,84,67.52,2017
AGUASCALIENTES,UNIVERSIDAD CUAUHTEMOC PLANTEL AGUASCALIENTES,72,9,63.81,2017
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO UNIDAD ENSENADA,247,48,61.16,2017
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO UNIDAD TIJUANA,152,30,62.48,2017
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD VALLE DE LAS PALMAS,135,16,62.7,2017
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD ENSENADA,188,55,64.88,2017
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD MEXICALI,253,103,68.87,2017
BAJA CALIFORNIA,UNIVERSIDAD AUTONOMA DE BAJA CALIFORNIA UNIDAD TIJUANA,227,85,68.2,2017
BAJA CALIFORNIA SUR,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO UNIDAD MEXICALI,36,5,59.45,2017
CAMPECHE,UNIVERSIDAD AUTONOMA DE CAMPECHE,224,38,60.89,2017
CHIAPAS,INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS,38,3,54.22,2017
CHIAPAS,INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS UNIDAD TAPACHULA,56,5,54.93,2017
CHIAPAS,INSTITUTO DE ESTUDIOS SUPERIORES DE CHIAPAS UNIDAD TUXTLA GUTIERREZ,333,27,56.31,2017
CHIAPAS,UNIVIVERSIDAD AUTONOMA DE CHIAPAS,758,134,62.78,2017
CHIAPAS,UNIVERSIDAD PABLO GUARDADO CHAVEZ,22,2,54.63,2017
CHIHUAHUA,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,429,94,63.43,2017
CHIHUAHUA,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,197,84,67.81,2017
CIUDAD DE MEXICO,ESCUELA LIBRE DE HOMEOPATIA DE MEXICO,16,1,54.39,2017
CIUDAD DE MEXICO,ESCUELA MEDICO MILITAR SEDENA,2,0,66.56,2017
CIUDAD DE MEXICO,INSTITUTO POLITECNICO NACIONAL CENTRO INTERDISCIPLINARIO DE CIENCIAS DE LA SALUD,376,67,58.96,2017
CIUDAD DE MEXICO,INSTITUTO POLITECNICO NACIONAL ESCUELA SUPERIOR DE MEDICINA,1404,266,62.8,2017
CIUDAD DE MEXICO,INSTITUTO POLITECNICO NACIONAL ESCUELA NACIONAL DE MEDICINA Y HOMEOPATIA,761,107,59.65,2017
CIUDAD DE MEXICO,UNAM FES ZARAGOZA,510,94,61.09,2017
CIUDAD DE MEXICO,UNAM FM CU,2178,620,65.77,2017
CIUDAD DE MEXICO,UNIVERSIDAD AUTONOMA METROPOLITANA  UNIDAD XOCHIMILCO,425,97,63.47,2017
CIUDAD DE MEXICO,UNIVERSIDAD JUSTO SIERRA,266,27,58.37,2017
CIUDAD DE MEXICO,UNIVERSIDAD LA SALLE,356,139,69.13,2017
CIUDAD DE MEXICO,UNIVERSIDAD PANAMERICANA,42,36,77.02,2017
CIUDAD DE MEXICO,UNIVERSIDAD WEST HILL INSTITUTE,166,22,61.75,2017
COAHUILA,UNIVERSIDAD AUTONOMA DE COAHUILA UNIDAD SALTILLO,118,43,68.34,2017
COAHUILA,UNIVERSIDAD AUTONOMA DE COAHUILA UNIDAD TORREON,183,71,68.24,2017
COAHUILA,UNIVERSIDAD DEL VALLE DE MEXICO  UNIDAD SALTILLO,59,7,60.29,2017
COLIMA,UNIVERSIDAD AUTONOMA DE COLIMA,206,53,63.8,2017
DURANGO,UNIVERSIDAD AUTONOMA DE DURANGO UNIDAD DURANGO,72,3,58.02,2017
DURANGO,UNIVERSIDAD AUTONOMA DE DURANGO UNIDAD GOMEZ PALACIO,12,1,54.96,2017
DURANGO,UNIVERSIDAD AUTONOMA DE DURANGO UNIDAD ZACATECAS,16,1,56.36,2017
DURANGO,UNIVERSIDAD AUTONOMA ESPA GN A DE DURANGO,22,1,56.43,2017
DURANGO,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO UNIDAD DURANGO,408,83,61.6,2017
DURANGO,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO UNIDAD GOMEZ PALACIO,248,72,63.07,2017
ESTADO DE MEXICO,ESCUELA MEDICINA TOMINAGA NAKAMOTO,193,16,56.23,2017
ESTADO DE MEXICO,UNAM FES IZTACALA,1540,262,61.87,2017
ESTADO DE MEXICO,UNIVERSIDAD ANAHUAC,570,115,64.57,2017
ESTADO DE MEXICO,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,356,106,66.4,2017
GUANAJUATO,UNIVERSIDAD DE CELAYA,49,13,65.5,2017
GUANAJUATO,UNIVERSIDAD DE GUANAJUATO,182,59,69.47,2017
GUANAJUATO,UNIVERSIDAD LATINA DE MEXICO UNIDAD CELAYA,56,12,63.66,2017
GUANAJUATO,UNIVERSIDAD QUETZALCOATL,250,38,59.73,2017
GUERRERO,UNIVERSIDAD AUTONOMA DE GUERRERO,763,119,58.27,2017
GUERRERO,UNIVERSIDAD HIPOCRATES,44,3,54.34,2017
HIDALGO,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,760,139,62.91,2017
JALISCO,UNIVERSIDAD AUTONOMA DE GUADALAJARA,1744,416,64.23,2017
JALISCO,UNIVERSIDAD CUAUHTEMOC PLANTEL GUADALAJARA,39,9,63.59,2017
JALISCO,UNIVERSIDAD DE GUADALAJARA,1489,464,65.86,2017
JALISCO,UNIVERSIDAD DE GUADALAJARA CENTRO UNIVERSITARIO DE LA COSTA,108,29,64.3,2017
JALISCO,UNIVERSIDAD DE GUADALAJARA CENTRO UNIVERSITARIO DEL SUR,143,33,64.77,2017
JALISCO,UNIVERSIDAD DE GUADALAJARA UNIDAD CIUDAD GUZMAN,42,13,65.02,2017
JALISCO,UNIVERSIDAD DE GUADALAJARA UNIDAD LOS ALTOS,108,41,67.24,2017
JALISCO,UNIVERSIDAD DEL VALLE DE ATEMAJAC,53,12,62.32,2017
JALISCO,UNIVERSIDAD DEL VALLE DE MEXICO UNIDAD ZAPOPAN,71,14,63.45,2017
JALISCO,UNIVERSIDAD GUADALAJARA LAMAR,39,2,56.48,2017
JALISCO,UNIVERSIDAD GUADALAJARA LAMAR UNIDAD INGLATERRA,361,62,60.78,2017
MICHOACAN,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO UNIDAD MORELIA,1898,347,59.89,2017
MICHOACAN,UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO UNIDAD ZAMORA,58,13,62.86,2017
MICHOACAN,UNIVERSIDAD VASCO DE QUIROGA CAMPUS SANTA MARIA,81,6,58.92,2017
MORELOS,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,283,78,65.7,2017
MORELOS,UNIVERSIDAD LATINOAMERICANA,136,19,58.72,2017
NAYARIT,UNIVERSIDAD AUTONOMA DE NAYARIT,392,87,62.67,2017
NUEVO LEON,INSTITUTO TECNOLOGICO Y ESTUDIOS SUPERIORES DE MONTERREY,239,90,69.4,2017
NUEVO LEON,UNIVERSIDAD AUTONOMA DE NUEVO LEON,1252,442,66.48,2017
NUEVO LEON,UNIVERSIDAD DE MONTERREY,307,99,67.51,2017
NUEVO LEON,UNIVERSIDAD MONTEMORELOS,120,39,64.77,2017
OAXACA,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,764,144,60.9,2017
OAXACA,UNIVERSIDAD REGIONAL DEL SURESTE,393,48,58.51,2017
PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA,1491,251,60.04,2017
PUEBLA,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA UNIDAD TEHUACAN,127,16,58.52,2017
PUEBLA,INSTITUTO DE ESTUDIOS SUPERIORES DE TEPEACA,33,2,54.08,2017
PUEBLA,UNIVERSIDAD LAS AMERICAS PUEBLA,28,6,65.23,2017
PUEBLA,UNIVERSIDAD POPULAR AUTONOMA DEL ESTADO DE PUEBLA,861,175,62.38,2017
QUERETARO,UNIVERSIDAD AUTONOMA DE QUERETARO,201,71,69.05,2017
QUERETARO,UNIVERSIDAD DEL VALLE DE MEXICO UNIDAD QUERETARO,165,30,63.48,2017
QUINTANA ROO,UNIVERSIDAD DE QUINTANA ROO,128,22,60.45,2017
SAN LUIS POTOSI,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,200,104,70.93,2017
SAN LUIS POTOSI,UNIVERSIDAD CUAUHTEMOC PLANTEL SAN LUIS POTOSI,54,10,66.43,2017
SINALOA,UNIVERSIDAD AUTONOMA DE SINALOA,1116,316,61.76,2017
SONORA,UNIVERSIDAD DE SONORA,288,95,66.69,2017
SONORA,UNIVERSIDAD DEL VALLE DE MEXICO CAMPUS HERMOSILLO,73,20,64.93,2017
TABASCO,UNIVERSIDAD AUTONOMA DE GUADALAJARA UNIDAD TABASCO,191,35,62.1,2017
TABASCO,UNIVERSIDAD DEL VALLE DE MEXICO CAMPUS VILLAHERMOSA,57,4,59.2,2017
